ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
1553698_a_at	CCSAP	centriole, cilia and spindle associated protein	-0.758	3.617
1553701_a_at	DUSP18	dual specificity phosphatase 18	-0.24	2.28
1553703_at	ZNF791	zinc finger protein 791	-0.41	3.201
1553704_x_at	ZNF791	zinc finger protein 791	-0.456	3.83
1553706_at	HTRA4	HtrA serine peptidase 4	0.361	4.004
1553709_a_at	PRPF38A	pre-mRNA processing factor 38A	-0.309	2.955
1553723_at	ADGRG3	adhesion G protein-coupled receptor G3	0.089	2.105
1553725_s_at	ZNF644	zinc finger protein 644	-0.991	7.115
1553740_a_at	IRAK2	interleukin 1 receptor associated kinase 2	-0.245	2.237
1553750_a_at	FAM76B	family with sequence similarity 76 member B	-0.333	2.821
1553759_at	MCM9	minichromosome maintenance 9 homologous recombination repair factor	0.35	2.241
1553852_at	VPS13B	vacuolar protein sorting 13 homolog B	0.87	3.675
1553858_at	ZBTB3	zinc finger and BTB domain containing 3	-0.366	4.783
1553861_at	TCP11L2	t-complex 11 like 2	1.015	4.041
1553906_s_at	FGD2	FYVE, RhoGEF and PH domain containing 2	-0.829	6.066
1553940_a_at	LRRC28	leucine rich repeat containing 28	-0.38	2.468
1553947_at	EXOSC6	exosome component 6	-1.431	7.689
1553962_s_at	RHOB	ras homolog family member B	-1.079	4.214
1553979_at	ZNF121	zinc finger protein 121	-0.274	2.827
1553994_at	NT5E	5'-nucleotidase ecto	0.909	6.909
1553995_a_at	NT5E	5'-nucleotidase ecto	0.753	4.269
1554021_a_at	ZNF12	zinc finger protein 12	0.352	2.995
1554029_a_at	TTC37	tetratricopeptide repeat domain 37	0.782	4.24
1554036_at	ZBTB24	zinc finger and BTB domain containing 24	0.825	3.893
1554039_at	C14orf159	chromosome 14 open reading frame 159	0.229	2.535
1554067_at	C12orf66	chromosome 12 open reading frame 66	0.34	2.627
1554079_at	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	0.171	3.193
1554084_a_at	NOL9	nucleolar protein 9	0.321	2.6
1554091_a_at	TIRAP	TIR domain containing adaptor protein	-1.27	6.01
1554112_a_at	ULK2	unc-51 like autophagy activating kinase 2	-0.679	4.72
1554122_a_at	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12	0.23	2.161
1554132_a_at	CCSER2	coiled-coil serine rich protein 2	0.684	2.311
1554145_a_at	PPP1R21	protein phosphatase 1 regulatory subunit 21	-0.617	5.237
1554148_a_at	SLC33A1	solute carrier family 33 member 1	-0.554	5.689
1554152_a_at	OGDH	oxoglutarate dehydrogenase	0.785	3.421
1554153_a_at	PHF21A	PHD finger protein 21A	-0.665	6.247
1554154_at	GDAP2	ganglioside induced differentiation associated protein 2	0.667	2.161
1554160_a_at	ZNF446	zinc finger protein 446	0.207	2.706
1554168_a_at	SH3KBP1	SH3 domain containing kinase binding protein 1	0.308	6.012
1554175_at	CD300LB	CD300 molecule like family member b	-0.566	2.612
1554178_a_at	FAM126B	family with sequence similarity 126 member B	1.223	7.698
1554193_s_at	MANEA	mannosidase endo-alpha	-0.6	3.306
1554216_at	VPS50	VPS50, EARP/GARPII complex subunit	-0.684	4.429
1554217_a_at	VPS50	VPS50, EARP/GARPII complex subunit	-0.49	2.922
1554219_at			0.307	2.85
1554229_at	CREBRF	CREB3 regulatory factor	0.388	4.81
1554241_at	COCH	cochlin	-0.33	2.321
1554250_s_at	STAG3L2///STAG3L3///TRIM73	stromal antigen 3-like 2 (pseudogene)///stromal antigen 3-like 3 (pseudogene)///tripartite motif containing 73	0.579	3.449
1554253_a_at	CERS3	ceramide synthase 3	0.133	3.453
1554260_a_at	FRYL	FRY like transcription coactivator	-0.598	4.69
1554271_a_at	CENPL	centromere protein L	0.321	2.645
1554279_a_at	TRMT2B	tRNA methyltransferase 2 homolog B	-0.318	2.673
1554285_at	HAVCR2	hepatitis A virus cellular receptor 2	-0.676	3.226
1554287_at	TRIM4	tripartite motif containing 4	0.95	4.89
1554303_at	HNMT	histamine N-methyltransferase	-0.209	2.49
1554306_at	ITPKB	inositol-trisphosphate 3-kinase B	0.699	4.208
1554311_a_at	SUPT6H	SPT6 homolog, histone chaperone	0.89	6.101
1554321_a_at	NFS1	NFS1 cysteine desulfurase	-0.47	3.249
1554334_a_at	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	0.487	2.607
1554343_a_at	STAP1	signal transducing adaptor family member 1	1.166	4.57
1554344_s_at	AQP12B///AQP12A	aquaporin 12B///aquaporin 12A	0.235	3.378
1554388_at	VPS29	VPS29, retromer complex component	-0.78	8.586
1554397_s_at	UEVLD	UEV and lactate/malate dehyrogenase domains	-0.615	5.475
1554406_a_at	CLEC7A	C-type lectin domain family 7 member A	-1.123	7.341
1554411_at	CTNNB1	catenin beta 1	-0.893	4.694
1554413_s_at	SNX29P1///SNX29P2	sorting nexin 29 pseudogene 1///sorting nexin 29 pseudogene 2	0.831	2.902
1554414_a_at	OSGIN2	oxidative stress induced growth inhibitor family member 2	-0.517	3.271
1554417_s_at	APH1A	aph-1 homolog A, gamma-secretase subunit	-1.208	6.831
1554432_x_at	SMIM11A	small integral membrane protein 11A	-0.308	3.517
1554441_a_at	WAPL	WAPL cohesin release factor	-0.371	5.143
1554447_at	JPX	JPX transcript, XIST activator (non-protein coding)	0.546	3.467
1554449_at	MIER3	MIER family member 3	-0.205	2.818
1554450_s_at	MIER3	MIER family member 3	-0.609	3.858
1554451_s_at	DNAJC14	DnaJ heat shock protein family (Hsp40) member C14	-1.435	9.321
1554464_a_at	CRTAP	cartilage associated protein	-1.228	7.015
1554466_a_at	METTL26	methyltransferase like 26	-0.779	5.678
1554468_s_at	FBF1	Fas binding factor 1	-0.187	2.243
1554469_at	ZBTB44	zinc finger and BTB domain containing 44	0.713	6.234
1554471_a_at	ANKRD13C	ankyrin repeat domain 13C	-0.553	4.858
1554476_x_at	ZNF808	zinc finger protein 808	0.335	3.139
1554478_a_at	HEATR3	HEAT repeat containing 3	-0.808	2.992
1554480_a_at	ARMC10	armadillo repeat containing 10	-0.39	8.631
1554481_a_at	EPB41	erythrocyte membrane protein band 4.1	-0.75	4.862
1554482_a_at	SAR1B	secretion associated Ras related GTPase 1B	-0.417	4.991
1554501_at	TSC22D4	TSC22 domain family member 4	0.321	2.172
1554503_a_at	OSCAR	osteoclast associated, immunoglobulin-like receptor	-0.561	2.105
1554508_at	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	-0.735	4.391
1554510_s_at	GHITM	growth hormone inducible transmembrane protein	-0.438	4.166
1554522_at	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	0.347	3.222
1554539_a_at	RHOF	ras homolog family member F, filopodia associated	-1.004	5.737
1554549_a_at	WDR20	WD repeat domain 20	0.552	3.833
1554553_s_at	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	-0.701	4.114
1554564_a_at	SPPL3	signal peptide peptidase like 3	0.68	2.784
1554565_x_at	SPPL3	signal peptide peptidase like 3	0.769	3.589
1554569_a_at	CELF2	CUGBP, Elav-like family member 2	-1.375	6.585
1554571_at	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein	-0.45	3.036
1554575_a_at	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	-0.405	3.603
1554577_a_at	PSMD10	proteasome 26S subunit, non-ATPase 10	-0.378	3.685
1554589_at	LENG9	leukocyte receptor cluster member 9	0.211	2.551
1554614_a_at	PTBP2	polypyrimidine tract binding protein 2	-0.752	4.048
1554621_at	DGKE	diacylglycerol kinase epsilon	0.216	2.975
1554627_a_at	ASCC1	activating signal cointegrator 1 complex subunit 1	-0.593	4.835
1554631_at	ATM	ATM serine/threonine kinase	0.418	3.029
1554636_at			0.752	2.198
1554637_a_at	CBFA2T2	CBFA2/RUNX1 translocation partner 2	-0.602	2.395
1554638_at	ZFYVE16	zinc finger FYVE-type containing 16	-0.646	2.797
1554660_a_at	CNST	consortin, connexin sorting protein	0.364	2.603
1554661_s_at	CNST	consortin, connexin sorting protein	0.555	3.939
1554671_a_at	SRRM2	serine/arginine repetitive matrix 2	0.288	2.387
1554676_at	SRGN	serglycin	1.864	4.814
1554679_a_at	LAPTM4B	lysosomal protein transmembrane 4 beta	-0.373	2.117
1554686_at	STAU2	staufen double-stranded RNA binding protein 2	-0.441	4.118
1554690_a_at	TACC1	transforming acidic coiled-coil containing protein 1	0.498	2.346
1554726_at	ZNF655	zinc finger protein 655	-0.78	5.758
1554783_s_at	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	-0.83	5.323
1554794_a_at	UBE3C	ubiquitin protein ligase E3C	-0.76	4.653
1554807_a_at	SPIRE1	spire type actin nucleation factor 1	-0.224	2.341
1554809_at	LOC389199	uncharacterized LOC389199	0.22	2.637
1554834_a_at	RASSF5	Ras association domain family member 5	-0.915	6.111
1554873_at	CSPP1	centrosome and spindle pole associated protein 1	0.659	4.511
1554885_a_at	PRIM2B///PRIM2	primase (DNA) subunit 2 pseudogene///primase (DNA) subunit 2	-0.836	5.881
1554889_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	-0.637	7.137
1554892_a_at	MS4A3	membrane spanning 4-domains A3	1.855	7.618
1554899_s_at	FCER1G	Fc fragment of IgE receptor Ig	-0.901	5.81
1554919_s_at	CFAP69	cilia and flagella associated protein 69	0.105	2.289
1554933_at	PSIP1	PC4 and SFRS1 interacting protein 1	0.668	2.914
1554948_at			-1.124	6.409
1554952_s_at	NLRP12	NLR family pyrin domain containing 12	-0.521	2.32
1554962_a_at	FGFR4	fibroblast growth factor receptor 4	0.131	2.507
1554977_at	LKAAEAR1	LKAAEAR motif containing 1	0.156	2.612
1555041_a_at	NAGA	alpha-N-acetylgalactosaminidase	-0.573	3.88
1555058_a_at	LPGAT1	lysophosphatidylglycerol acyltransferase 1	0.878	2.282
1555105_a_at	MIER1	MIER1 transcriptional regulator	-0.452	3.455
1555106_a_at	CTDSPL2	CTD small phosphatase like 2	-0.532	2.64
1555107_a_at	UVSSA	UV stimulated scaffold protein A	-0.626	4.094
1555125_at	PAXBP1	PAX3 and PAX7 binding protein 1	-0.728	5.189
1555154_a_at	QKI	QKI, KH domain containing RNA binding	-1.075	7.153
1555199_at	GOSR1	golgi SNAP receptor complex member 1	-0.424	2.546
1555201_a_at	RMND1	required for meiotic nuclear division 1 homolog	-0.365	2.841
1555213_a_at	CLEC7A	C-type lectin domain family 7 member A	-0.331	2.738
1555214_a_at	CLEC7A	C-type lectin domain family 7 member A	-1.669	9.194
1555225_at	C1orf43	chromosome 1 open reading frame 43	-0.435	2.578
1555226_s_at	C1orf43	chromosome 1 open reading frame 43	-0.527	6.11
1555247_a_at	RAPGEF6	Rap guanine nucleotide exchange factor 6	1.087	7.532
1555248_a_at	WNK3	WNK lysine deficient protein kinase 3	0.146	2.405
1555261_at			0.483	2.673
1555266_a_at	ASXL2	additional sex combs like 2, transcriptional regulator	-0.558	4.166
1555278_a_at	CKAP5	cytoskeleton associated protein 5	-0.513	4.191
1555306_a_at	ECE2	endothelin converting enzyme 2	0.119	2.519
1555317_at	POLK	DNA polymerase kappa	-1.885	8.733
1555326_a_at	ADAM9	ADAM metallopeptidase domain 9	-1.6	9.274
1555334_s_at	SLC30A5	solute carrier family 30 member 5	-0.844	4.747
1555337_a_at	ZNF317	zinc finger protein 317	-0.498	4.307
1555349_a_at	ITGB2	integrin subunit beta 2	-0.668	4.134
1555373_at			0.357	2.28
1555391_a_at	CARF	calcium responsive transcription factor	0.571	3.037
1555392_at			-0.853	5.389
1555405_at	UBE3C	ubiquitin protein ligase E3C	-0.246	3.011
1555411_a_at	CCNL1	cyclin L1	0.258	2.153
1555419_a_at	ASAH1	N-acylsphingosine amidohydrolase 1	-0.602	6.028
1555426_a_at	OTUD5	OTU deubiquitinase 5	0.489	3.775
1555427_s_at	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	-0.396	2.716
1555437_at	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	0.244	3
1555450_a_at	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	0.35	3.142
1555460_a_at	SLC39A6	solute carrier family 39 member 6	-0.715	6.02
1555463_a_at	CHD6	chromodomain helicase DNA binding protein 6	0.302	2.875
1555465_at	MCOLN2	mucolipin 2	-0.577	2.821
1555467_a_at	CELF1	CUGBP, Elav-like family member 1	-1.057	5.523
1555468_at	NRP2	neuropilin 2	0.1	2.137
1555469_a_at	CLASP2	cytoplasmic linker associated protein 2	-0.668	3.939
1555487_a_at	ACTR3B	ARP3 actin related protein 3 homolog B	-0.251	2.14
1555495_a_at	CWC27	CWC27 spliceosome associated protein homolog	0.347	2.944
1555514_a_at	PIAS2	protein inhibitor of activated STAT 2	-0.558	6.555
1555522_s_at	DPY30///MEMO1	dpy-30, histone methyltransferase complex regulatory subunit///mediator of cell motility 1	-0.317	3.763
1555536_at	ANTXR2	anthrax toxin receptor 2	-0.779	7.789
1555543_a_at	CLCC1	chloride channel CLIC like 1	-0.337	2.351
1555545_at	KLK2	kallikrein related peptidase 2	0.068	2.545
1555546_a_at	POFUT2	protein O-fucosyltransferase 2	0.234	2.13
1555550_at	ZACN	zinc activated ion channel	0.225	3.596
1555559_s_at	USP25	ubiquitin specific peptidase 25	-0.927	5.311
1555565_s_at	TAPBP	TAP binding protein (tapasin)	-1.238	6.422
1555594_a_at	MBNL1	muscleblind like splicing regulator 1	-0.734	6.342
1555608_at	CAPRIN2	caprin family member 2	0.339	2.983
1555609_a_at	ZMAT3	zinc finger matrin-type 3	-0.755	4.444
1555618_s_at	SAE1	SUMO1 activating enzyme subunit 1	-0.389	4.917
1555626_a_at	SLAMF1	signaling lymphocytic activation molecule family member 1	-0.768	4.036
1555628_a_at	HAVCR2	hepatitis A virus cellular receptor 2	-0.999	4.592
1555630_a_at	NARR///RAB34	nine-amino acid residue-repeats///RAB34, member RAS oncogene family	-0.632	3.82
1555639_a_at	RBM14	RNA binding motif protein 14	-1.481	4.656
1555643_s_at	LILRA5	leukocyte immunoglobulin like receptor A5	-2.306	7.512
1555650_at	KLHL17	kelch like family member 17	0.135	2.665
1555688_s_at	SLA2	Src like adaptor 2	-0.967	4.07
1555705_a_at	CMTM3	CKLF like MARVEL transmembrane domain containing 3	-0.494	3.188
1555731_a_at	AP1S3	adaptor related protein complex 1 sigma 3 subunit	-0.331	2.775
1555735_a_at	BAP1	BRCA1 associated protein 1	-0.458	3.581
1555736_a_at	AGTRAP	angiotensin II receptor associated protein	-0.689	5.321
1555743_s_at	ERVH-6	endogenous retrovirus group H member 6	0.145	2.523
1555749_at	SF1	splicing factor 1	0.304	2.462
1555751_a_at	GEMIN7	gem nuclear organelle associated protein 7	-0.393	2.221
1555754_s_at	ATN1	atrophin 1	0.128	2.185
1555760_a_at	RBM15	RNA binding motif protein 15	-0.328	4.13
1555762_s_at	RBM15	RNA binding motif protein 15	-0.404	4.578
1555779_a_at	CD79A	CD79a molecule	1.152	2.931
1555780_a_at	RHEB	Ras homolog enriched in brain	-0.494	4.065
1555783_x_at	PQLC2	PQ loop repeat containing 2	-0.517	3.109
1555786_s_at	LINC00520	long intergenic non-protein coding RNA 520	0.124	2.112
1555789_s_at	PHF23	PHD finger protein 23	-0.281	3.026
1555790_a_at	TMEM192///ZNF320	transmembrane protein 192///zinc finger protein 320	0.225	3.18
1555797_a_at	ARPC5	actin related protein 2/3 complex subunit 5	-0.444	4.758
1555803_a_at	C11orf57	chromosome 11 open reading frame 57	-0.395	3.504
1555808_a_at	EXD2	exonuclease 3'-5' domain containing 2	-0.174	2.382
1555814_a_at	RHOA	ras homolog family member A	-0.505	6.55
1555823_at	PACS2	phosphofurin acidic cluster sorting protein 2	0.173	2.769
1555827_at	CCNL1	cyclin L1	0.878	2.867
1555830_s_at	ESYT2	extended synaptotagmin 2	-0.469	2.337
1555831_s_at	LRRC41	leucine rich repeat containing 41	-1.347	6.595
1555832_s_at	KLF6	Kruppel like factor 6	-0.471	3.084
1555836_at	POLR2B	RNA polymerase II subunit B	-0.448	3.625
1555842_at	CYTH2	cytohesin 2	-0.304	2.29
1555844_s_at	HNRNPM	heterogeneous nuclear ribonucleoprotein M	-0.265	4.208
1555852_at	PSMB8-AS1	PSMB8 antisense RNA 1 (head to head)	0.294	3.746
1555858_at	THUMPD3-AS1	THUMPD3 antisense RNA 1	-0.77	5.103
1555860_x_at	THUMPD3-AS1	THUMPD3 antisense RNA 1	-0.594	3.278
1555878_at	RPS24	ribosomal protein S24	-0.563	4.089
1555881_s_at	LZTS2	leucine zipper tumor suppressor 2	0.464	4.023
1555884_at	PSMD6	proteasome 26S subunit, non-ATPase 6	0.484	2.845
1555889_a_at	CRTAP	cartilage associated protein	-0.452	3.362
1555900_at	DCTN5	dynactin subunit 5	-0.439	3.74
1555913_at	GON4L	gon-4 like	0.991	6.115
1555933_at	KIAA2013	KIAA2013	-0.266	2.3
1555945_s_at	FAM120A	family with sequence similarity 120A	0.394	2.866
1555972_s_at	FBXO28	F-box protein 28	-0.53	4.9
1555980_a_at	LOC100130417	uncharacterized LOC100130417	0.105	2.185
1555996_s_at	MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2	microRNA 1248///small nucleolar RNA, H/ACA box 81///small nucleolar RNA, H/ACA box 4///small nucleolar RNA, C/D box 2///small nucleolar RNA, H/ACA box 63///eukaryotic translation initiation factor 4A2	-0.492	2.253
1556006_s_at	CSNK1A1	casein kinase 1 alpha 1	-0.429	4.781
1556009_at	PEX13	peroxisomal biogenesis factor 13	-0.894	8.275
1556024_at	EME2	essential meiotic structure-specific endonuclease subunit 2	0.258	4.023
1556026_at	LINC00893	long intergenic non-protein coding RNA 893	0.715	5.303
1556034_s_at	MTMR11	myotubularin related protein 11	-0.45	2.702
1556042_s_at	LINC01089	long intergenic non-protein coding RNA 1089	0.341	3.071
1556066_at	KDM6B	lysine demethylase 6B	-0.572	4.115
1556067_a_at	KDM6B	lysine demethylase 6B	-0.3	2.315
1556072_at	LINC00528	long intergenic non-protein coding RNA 528	0.617	3.603
1556102_x_at	LOC389906	zinc finger protein 839 pseudogene	0.257	2.836
1556144_at	DHX30	DEAH-box helicase 30	0.307	2.329
1556154_a_at	SNAI3-AS1	SNAI3 antisense RNA 1	0.227	2.18
1556176_at	TAF8	TATA-box binding protein associated factor 8	-0.32	5.1
1556178_x_at	TAF8	TATA-box binding protein associated factor 8	-0.966	6.626
1556204_a_at	ZNF814	zinc finger protein 814	0.733	2.774
1556224_a_at	ZNF783///LOC155060	zinc finger family member 783///AI894139 pseudogene	0.093	3.27
1556227_at	VCPIP1	valosin containing protein interacting protein 1	-0.296	2.613
1556228_a_at	VCPIP1	valosin containing protein interacting protein 1	-0.345	3.198
1556238_at			0.413	2.796
1556239_a_at			0.615	3.404
1556282_at	FGFR1OP2	FGFR1 oncogene partner 2	-0.437	3.502
1556314_a_at	ZNF366	zinc finger protein 366	-0.932	5.841
1556319_at	TRIM44	tripartite motif containing 44	0.326	2.72
1556321_a_at	MESDC1	mesoderm development candidate 1	0.558	3.121
